acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,grav_x,grav_y,grav_z,label,timestamp
0.42528507,-0.0033212362,0.71212465,-5.5821037,2.887249,6.7281914,-0.038831837,9.063444,3.7447112,0,1683807184.981281
0.9073041,0.047938026,1.0682096,-5.7429886,2.9180908,6.1166954,0.9098871,8.498916,4.8073816,0,1683807185.043781
1.0454311,0.1709451,1.2102494,-5.4084015,2.3801613,5.2857018,1.6516737,7.7014275,5.84212,0,1683807185.059406
1.0454311,0.1709451,1.2102494,-5.20813,2.0936394,4.9704742,2.0469184,7.0310564,6.5226345,0,1683807185.0750313
1.1608707,0.21829167,1.2859099,-5.20813,2.0936394,4.9704742,2.0469184,7.0310564,6.5226345,0,1683807185.0906558
1.412496,0.23585327,1.4594331,-4.4848824,1.2169838,3.6558914,2.256542,6.593881,6.8992124,0,1683807185.106281
1.6428897,0.32689154,1.7457116,-3.5432053,0.12496948,2.1581268,2.5792234,5.8373156,7.4460554,0,1683807185.1219058
1.5189121,0.24390614,1.9011728,-2.358532,-1.0681152,0.53899765,2.852165,5.3635793,7.6985426,0,1683807185.1687813
1.5189121,0.24390614,1.9011728,-2.358532,-1.0681152,0.53899765,3.0184712,5.238166,7.721453,0,1683807185.1844063
0.90534776,0.34374037,1.3452069,1.4507675,-0.9881401,-1.0556984,3.2189994,5.824445,7.203074,0,1683807185.2000313
0.95317966,0.37887874,1.3683949,1.616993,-1.0328674,-1.2549019,3.2247593,5.895501,7.1424346,0,1683807185.2156565
0.95317966,0.37887874,1.3683949,2.1251488,-0.86250305,-1.9505119,3.1867442,6.163123,6.9304376,0,1683807185.2312808
0.95317966,0.37887874,1.3683949,2.2976494,-0.74954987,-2.34478,3.1867442,6.163123,6.9304376,0,1683807185.262531
0.9256088,0.33470175,0.95129913,3.2138252,-0.85609436,-3.244934,2.9916804,6.6332107,6.5742483,0,1683807185.278156
0.7115635,0.49748784,0.7377542,3.4620285,-1.1607742,-4.2824745,2.2121592,7.8076625,5.5060997,0,1683807185.3094063
0.64639753,0.42525473,0.7597138,3.5238457,-0.83473206,-4.7990417,2.2121592,7.8076625,5.5060997,0,1683807185.3719063
0.64639753,0.42525473,0.7597138,3.5238457,-0.83473206,-4.7990417,0.80767936,8.781059,4.2908077,0,1683807185.387531
0.64639753,0.42525473,0.7597138,3.8028908,-0.7868004,-5.3061295,0.80767936,8.781059,4.2908077,0,1683807185.387531
0.64639753,0.42525473,0.7597138,4.296093,-1.3237953,-5.891056,0.5915008,8.88008,4.1188226,0,1683807185.403156
0.36744398,0.4084059,0.51908344,4.025593,-1.0223198,-5.5117416,1.4113753,8.45086,4.770889,0,1683807185.4187813
0.20612897,0.32909054,0.38216966,4.1362762,-1.1511612,-5.6289673,0.1441642,9.057299,3.7569869,0,1683807185.4344058
0.10314031,0.30176237,0.35654002,4.3632507,-1.4515686,-6.109352,-0.8435055,9.301863,2.9890175,0,1683807185.450031
-0.1482424,0.25221682,0.16007146,4.1651154,-1.5889549,-6.087055,-1.645411,9.360877,2.4159877,0,1683807185.465656
-0.9485087,0.12481175,-0.21675995,1.7203331,0.5755806,-4.1908836,-6.8883233,6.968276,-0.40560558,0,1683807185.496906
-1.1959788,0.062330052,-0.46007463,1.260109,0.4606247,-3.3588219,-7.4282303,6.3636556,-0.70404345,0,1683807185.512531
-1.2955551,0.0015620426,-0.52255636,1.260109,0.4606247,-3.3588219,-7.9732227,5.619581,-1.0091635,0,1683807185.5281544
-1.2955551,0.0015620426,-0.52255636,0.5794525,0.47330856,-2.7271652,-8.381735,4.9375124,-1.2401066,0,1683807185.543781
-1.68141,-0.07042841,-0.46007463,0.5794525,0.47330856,-2.7271652,-8.381735,4.9375124,-1.2401066,0,1683807185.543781
-1.68141,-0.07042841,-0.46007463,0.1511383,0.454216,-0.61576843,-8.679021,4.340386,-1.4163475,0,1683807185.5906563
-1.9044788,-0.16463625,-0.42639214,0.1511383,0.454216,-0.61576843,-8.679021,4.340386,-1.4163475,0,1683807185.5906563
-1.9694021,-0.21589552,-0.40980113,0.1511383,0.454216,-0.61576843,-8.679021,4.340386,-1.4163475,0,1683807185.6062672
-1.9694021,-0.21589552,-0.40980113,0.1511383,0.454216,-0.61576843,-8.752311,4.156973,-1.5122863,0,1683807185.6375194
-1.9694021,-0.21589552,-0.40980113,0.10854721,0.49146652,-0.37290573,-8.752311,4.156973,-1.5122863,0,1683807185.6687682
-1.5537775,-0.11070788,-0.34951842,-0.5988121,-0.8167076,2.9549408,-8.2639885,5.148381,-1.1709179,0,1683807185.7000182
-0.6780933,0.07282455,-0.10594592,-1.9495773,0.039787292,5.969696,-5.8205338,7.8901234,-0.1942383,0,1683807185.7781427
-0.48261052,0.14727181,-0.09813571,-1.9495773,0.039787292,5.969696,-4.8646617,8.514206,0.11720368,0,1683807185.7937682
-0.48261052,0.14727181,-0.09813571,-1.9495773,0.039787292,5.969696,-4.075825,8.911682,0.3741195,0,1683807185.8406434
