acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,grav_x,grav_y,grav_z,label,timestamp
4.0017104,1.4907953,3.2376292,-2.6590729,-2.9003334,0.4579544,1.6788987,6.2317166,7.38359,1,1683807238.0569627
4.2028046,1.4029418,4.3271008,-2.6590729,-2.9003334,0.4579544,1.6788987,6.2317166,7.38359,1,1683807238.0725877
3.8989494,0.8391657,4.2609644,5.795994,-12.046738,-6.2681007,2.6268752,8.162365,4.7587514,1,1683807238.088213
2.3469918,-0.5988234,3.7984781,10.718536,-14.383907,-12.362499,2.0914025,8.886338,3.5818167,1,1683807238.1038373
1.0246999,-1.3478305,2.93159,7.8051186,-13.644638,-8.2772255,2.0914025,8.886338,3.5818167,1,1683807238.119463
0.10338296,-1.3009692,2.4310236,10.208378,-9.77232,-13.516197,0.13856645,9.690942,1.4956021,1,1683807238.150712
-0.6507652,-1.2885183,2.1464589,10.208378,-9.77232,-13.516197,0.13856645,9.690942,1.4956021,1,1683807238.166338
-0.6507652,-1.2885183,2.1464589,10.095425,-8.608074,-12.971859,-1.0589536,9.730257,0.6091778,1,1683807238.1819632
-2.4133408,-0.33426195,-2.093304,-6.652622,6.6008186,5.4125404,-4.600891,8.090887,-3.0886455,1,1683807238.1975875
-2.4133408,-0.33426195,-2.093304,-9.172039,8.007927,6.8474197,-3.8804476,8.582274,-2.7307656,1,1683807238.2132125
-2.1314602,-0.5658689,-1.4631487,-9.172039,8.007927,6.8474197,-3.8804476,8.582274,-2.7307656,1,1683807238.2132125
-1.6530961,-1.167225,-0.35098946,-12.676792,9.717712,8.921566,-3.0318978,9.083504,-2.1137547,1,1683807238.228837
-0.4311086,-1.5669866,1.5436318,-14.123421,9.729462,9.945221,0.4713587,9.435249,2.6314034,1,1683807238.244463
1.7573587,-0.604192,2.519863,-12.733269,8.516083,7.987232,1.3647672,8.126195,5.317212,1,1683807238.2600865
2.6679385,-0.097771734,3.1043854,-11.35046,6.602955,6.6929436,1.4770609,7.739747,5.838236,1,1683807238.2757125
4.8110003,1.8754369,5.0497656,-2.8613472,-2.6350403,0.737133,1.8654541,7.033237,6.5745006,1,1683807238.3069623
4.9188724,1.8925133,5.2152357,9.196339,-12.241669,-8.868427,1.8654541,7.033237,6.5745006,1,1683807238.3225868
0.015756916,-1.5965289,2.377823,10.751648,-10.994244,-14.120216,-0.7809333,9.724834,0.9940424,1,1683807238.338212
-2.1990528,-1.3248851,1.4179404,10.007038,-9.048004,-13.401108,-2.0298047,9.591959,0.21118802,1,1683807238.3538375
-2.9619815,-1.1498909,0.60669434,9.296474,-5.9992027,-11.300392,-2.0298047,9.591959,0.21118802,1,1683807238.4007125
-3.4583926,-0.5099842,-1.2398372,9.296474,-5.9992027,-11.300392,-5.3488755,7.9404254,-2.123569,1,1683807238.4163373
-3.4583926,-0.5099842,-1.2398372,8.929977,-4.9531174,-10.330009,-5.3488755,7.9404254,-2.123569,1,1683807238.4319627
-3.4583926,-0.5099842,-1.2398372,5.0811577,1.3330078,-4.0193176,-5.4929256,7.699769,-2.590699,1,1683807238.4475873
-3.361258,-0.86336976,-0.3087688,5.0811577,1.3330078,-4.0193176,-4.915117,8.330502,-1.6170236,1,1683807238.4632123
-3.479867,-0.35670686,-2.3554237,0.27050018,4.28915,1.339016,-4.915117,8.330502,-1.6170236,1,1683807238.478837
-3.1479557,-0.16049609,-3.1505642,0.27050018,4.28915,1.339016,-5.3720083,7.6581187,-2.9436564,1,1683807238.494463
-2.8997426,-0.14169091,-3.248912,-1.1707878,4.457512,2.5182152,-5.0382257,7.8249073,-3.0915198,1,1683807238.5100882
-1.8363858,-0.34255746,-2.0230272,-6.9690514,5.7154846,5.8556747,-3.1218233,9.064045,-2.0658398,1,1683807238.525713
-1.724116,-1.0027252,-0.16013213,-12.154751,8.806877,8.632774,-3.1218233,9.064045,-2.0658398,1,1683807238.541337
-1.724116,-1.0027252,-0.16013213,-12.67786,8.803673,9.786472,-0.54942906,9.745948,0.94074875,1,1683807238.556962
-1.6570088,-1.120121,0.16544002,-12.67786,8.803673,9.786472,-1.4173806,9.701054,-0.22578606,1,1683807238.572588
-0.66100186,-1.5562494,2.0183258,-12.461567,9.022102,10.707989,0.9969556,9.11381,3.480651,1,1683807238.5882125
-0.1560526,-1.4161661,2.4490857,-12.08559,9.509964,10.845375,0.9969556,9.11381,3.480651,1,1683807238.6038373
-0.1560526,-1.4161661,2.4490857,-11.791458,9.732666,10.743103,1.9896864,6.6921015,6.8867493,1,1683807238.619463
-0.1560526,-1.4161661,2.4490857,-11.791458,9.732666,10.743103,1.5574776,8.444355,4.7368264,1,1683807238.6507123
3.137249,0.485037,2.5977073,-10.203171,9.724121,9.654427,1.5574776,8.444355,4.7368264,1,1683807238.6507123
5.277642,2.1292613,3.5939567,-0.38785934,-2.822628,-0.30160904,2.134362,5.0395894,8.137409,1,1683807238.6663373
-2.5060775,-0.80699974,0.22231051,7.628212,-5.5293655,-9.281788,-1.7250395,9.648672,-0.31265858,1,1683807238.6819623
-3.4879198,-0.24298105,-1.7250259,4.316387,-1.8585205,-4.6894264,-4.9951396,8.144277,-2.2112691,1,1683807238.7132132
-3.3759077,-0.21589552,-1.9505363,-2.6079369,3.216362,2.8708267,-4.8182573,8.206108,-2.3695085,1,1683807238.7288508
-2.3447626,-0.5846589,-0.793457,-8.245316,7.553177,8.181095,-3.8083842,8.822153,-1.9586289,1,1683807238.7444758
-2.3447626,-0.5846589,-0.793457,-8.964291,8.231697,8.850136,-2.590632,9.381191,-1.2050973,1,1683807238.7601008
-1.9335207,-0.9004645,-0.06568162,-8.964291,8.231697,8.850136,-2.590632,9.381191,-1.2050973,1,1683807238.7601008
-0.29248112,-1.6284977,1.3405814,-10.514259,9.441872,10.599308,0.87994194,9.503373,2.2543266,1,1683807238.791351
0.2305302,-1.5552789,1.817702,-10.514259,9.441872,10.599308,1.6880294,8.965331,3.5977478,1,1683807238.8226006
-0.8784594,-1.5203831,1.0040294,-11.188641,9.971256,11.559143,-0.098210424,9.750341,1.0447977,1,1683807238.8382258
-0.8784594,-1.5203831,1.0040294,-3.7402725,2.6795006,3.364029,2.0141547,4.7024317,8.366643,1,1683807238.8538508
4.159856,1.3634055,3.4929245,-3.7402725,2.6795006,3.364029,2.0141547,4.7024317,8.366643,1,1683807238.8538508
2.9110105,-0.047983523,3.2952275,7.1840096,-10.709724,-6.728325,3.2929847,6.2623277,6.7904263,1,1683807238.8694758
2.9110105,-0.047983523,3.2952275,7.1840096,-10.709724,-6.728325,3.2319787,8.217886,4.265095,1,1683807238.900726
1.0974183,-0.9746691,2.9723396,10.673809,-13.286686,-12.625656,3.2319787,8.217886,4.265095,1,1683807238.900726
-2.7655132,-0.514367,-0.99089617,5.79813,-2.8885841,-6.1733055,-3.9672925,8.703733,-2.1624067,1,1683807238.963226
-3.275846,-0.2703092,-1.5312415,4.1469574,-1.770134,-3.9510918,-4.4647365,8.367806,-2.4932601,1,1683807238.9788508
-3.4691298,-0.22052099,-2.2580464,0.634861,0.8738518,-0.06181717,-4.7120767,8.161461,-2.71243,1,1683807238.9944758
-3.0437386,-0.21101224,-2.1079538,-9.4916725,8.752537,7.726345,-3.050178,9.095374,-2.0349355,1,1683807239.0257244
-2.0413926,-1.1289018,-0.14255534,-11.642323,10.591297,9.246407,-2.1082203,9.493167,-1.2671055,1,1683807239.0413494
-1.5603592,-1.4818174,0.5105453,-12.498817,11.282635,9.878063,-1.6051468,9.643406,-0.77370363,1,1683807239.0569618
-0.8994484,-1.5974995,1.0203778,-12.498817,11.282635,9.878063,-1.6051468,9.643406,-0.77370363,1,1683807239.0725877
-0.8994484,-1.5974995,1.0203778,-14.252262,12.417107,11.138306,-0.101147704,9.74231,1.1169356,1,1683807239.0882125
-0.8994484,-1.5974995,1.0203778,-14.698601,12.424583,11.210804,0.7359229,9.425574,2.6052525,1,1683807239.119463
-0.4372051,-1.5996984,1.5741447,-14.698601,12.424583,11.210804,0.7359229,9.425574,2.6052525,1,1683807239.1507113
-0.2234176,-1.5955431,2.0930007,-14.084034,11.831245,10.091152,1.6028726,7.9118843,5.5680585,1,1683807239.166339
-0.2234176,-1.5955431,2.0930007,-14.084034,11.831245,10.091152,1.6483514,7.4153776,6.2020564,1,1683807239.1819625
0.46140918,-1.374916,2.6831343,-14.084034,11.831245,10.091152,1.6483514,7.4153776,6.2020564,1,1683807239.1819625
1.0303112,-1.0317671,3.0665474,-14.084034,11.831245,10.091152,1.6573403,6.117375,7.4834046,1,1683807239.1975875
1.0303112,-1.0317671,3.0665474,-7.935295,5.3437805,5.570221,1.3148568,8.795102,4.133729,1,1683807239.213213
1.0303112,-1.0317671,3.0665474,-1.1836052,-1.1618423,0.9990883,1.3148568,8.795102,4.133729,1,1683807239.228838
1.0303112,-1.0317671,3.0665474,-1.1836052,-1.1618423,0.9990883,1.8290206,5.8209343,7.6773562,1,1683807239.2444637
4.5379004,1.5205803,4.5811677,-1.1836052,-1.1618423,0.9990883,1.8290206,5.8209343,7.6773562,1,1683807239.2600875
2.849272,-0.2671396,3.1519744,12.140732,-14.750271,-10.925484,2.5635645,6.9937825,6.378522,1,1683807239.2757123
-1.9318221,-0.57929033,-0.68899727,-9.656696,8.641853,6.8942833,-2.331222,9.399758,-1.5428312,1,1683807239.2913375
-1.4551716,-1.0776578,0.46148503,-11.663685,9.567509,8.875637,-0.72304404,9.775099,0.3082783,1,1683807239.3069627
-1.1200756,-1.1681956,0.9859674,-11.928978,9.476986,9.610767,0.0854244,9.696426,1.4637003,1,1683807239.3225873
-0.31249952,-1.3592956,2.1891649,-9.985943,10.58382,9.39127,1.8223991,6.193313,7.3818784,1,1683807239.3694623
2.4402292,0.76985955,2.6499372,-5.4606056,6.4110947,6.1304474,1.3040965,4.5095162,8.610109,1,1683807239.385088
2.658172,1.0863931,2.5098536,-2.0518494,2.2800255,3.2925987,1.3075652,4.3966374,8.667769,1,1683807239.4007123
2.658172,1.0863931,2.5098536,4.417591,-6.8183136,-3.1180954,2.213421,5.061838,8.102405,1,1683807239.4944627
2.7291918,1.2916576,2.08422,4.417591,-6.8183136,-3.1180954,2.213421,5.061838,8.102405,1,1683807239.4944627
1.916232,0.42549738,2.3068032,7.5473022,-12.216034,-7.4473,2.9993808,6.085168,7.0813017,1,1683807239.5257125
2.6222904,0.9719393,1.7818357,8.27589,-12.08292,-8.775768,1.5111859,4.4414577,8.6116295,1,1683807239.5413382
2.6222904,0.9719393,1.7818357,1.5348816,-2.4390411,0.02336502,1.5111859,4.4414577,8.6116295,1,1683807239.5569637
2.455607,0.80743957,1.8164887,1.5348816,-2.4390411,0.02336502,1.5111859,4.4414577,8.6116295,1,1683807239.5725882
1.209203,0.21657798,1.9895267,8.432503,-9.361095,-9.497948,2.935761,8.559082,3.7807143,1,1683807239.6038377
0.16048093,-0.16098139,0.72897345,8.493252,-8.727303,-10.120125,2.0352592,9.300999,2.3493662,1,1683807239.6194623
0.16048093,-0.16098139,0.72897345,8.281231,-8.965893,-10.395966,0.7923235,9.724137,0.99185723,1,1683807239.6350882
