acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,grav_x,grav_y,grav_z,label,timestamp
1.7875433,2.2636077,0.18409611,1.478752,0.09086621,3.4319937,1.8632365,7.4704137,6.079258,1,1683969708.0372055
1.7221128,2.39764,0.104396336,1.478752,0.09086621,3.4319937,1.8632365,7.4704137,6.079258,1,1683969708.0574586
1.7221128,2.39764,0.104396336,0.5879578,-0.20463985,0.032070424,2.08682,7.5517178,5.90363,1,1683969708.0626247
1.2886727,2.0564613,0.030184686,-0.45814893,0.06047566,-1.6354389,2.0660098,7.61618,5.8276505,1,1683969708.0678174
1.132627,1.8098617,0.052686002,-1.1082623,0.34193182,-2.3956609,2.0660098,7.61618,5.8276505,1,1683969708.0729651
1.132627,1.8098617,0.052686002,-1.1082623,0.34193182,-2.3956609,1.8989428,7.6310472,5.864917,1,1683969708.0780296
0.92865175,1.4243515,0.11110405,-1.1082623,0.34193182,-2.3956609,1.8989428,7.6310472,5.864917,1,1683969708.0882952
0.92865175,1.4243515,0.11110405,-1.1082623,0.34193182,-2.3956609,1.7209722,7.615596,5.9394503,1,1683969708.103676
0.92865175,1.4243515,0.11110405,-1.6029104,0.5717699,-2.9191723,1.7209722,7.615596,5.9394503,1,1683969708.1088028
0.92865175,1.4243515,0.11110405,-2.0410535,0.7075347,-3.4041994,1.7209722,7.615596,5.9394503,1,1683969708.1446455
0.92865175,1.4243515,0.11110405,-2.0410535,0.7075347,-3.4041994,1.4961046,7.5754414,6.050658,1,1683969708.1497738
0.71168786,1.0242062,0.14915505,-2.0410535,0.7075347,-3.4041994,1.4961046,7.5754414,6.050658,1,1683969708.154895
0.3240433,0.4936264,0.2359284,-2.0410535,0.7075347,-3.4041994,1.4961046,7.5754414,6.050658,1,1683969708.175404
0.3240433,0.4936264,0.2359284,-2.4888177,0.7305948,-3.8362339,1.4961046,7.5754414,6.050658,1,1683969708.180535
0.3240433,0.4936264,0.2359284,-2.4888177,0.7305948,-3.8362339,1.2334398,7.50791,6.1924176,1,1683969708.190788
0.08878566,0.17403455,0.3405077,-2.4888177,0.7305948,-3.8362339,1.2334398,7.50791,6.1924176,1,1683969708.2061765
0.08878566,0.17403455,0.3405077,-2.4888177,0.7305948,-3.8362339,0.9457679,7.408228,6.360801,1,1683969708.2112684
0.08878566,0.17403455,0.3405077,-2.6650524,0.6598872,-3.9796343,0.9457679,7.408228,6.360801,1,1683969708.226656
0.08878566,0.17403455,0.3405077,-2.651766,0.3136793,-3.998724,0.9457679,7.408228,6.360801,1,1683969708.2369227
0.08878566,0.17403455,0.3405077,-2.651766,0.3136793,-3.998724,0.4892032,7.190921,6.6548815,1,1683969708.2472003
-0.3638627,-0.38575423,0.6710147,-2.651766,0.3136793,-3.998724,0.4892032,7.190921,6.6548815,1,1683969708.2625918
-0.3638627,-0.38575423,0.6710147,-2.651766,0.3136793,-3.998724,0.21318744,7.032932,6.835827,1,1683969708.2882416
-0.3638627,-0.38575423,0.6710147,-2.060143,-0.17302758,-3.450167,0.21318744,7.032932,6.835827,1,1683969708.293373
-0.9529824,-0.8959059,1.1347613,-2.060143,-0.17302758,-3.450167,0.21318744,7.032932,6.835827,1,1683969708.298503
-1.4005086,-1.1451279,1.4316078,-2.060143,-0.17302758,-3.450167,0.21318744,7.032932,6.835827,1,1683969708.3087606
-1.4005086,-1.1451279,1.4316078,-1.14018,-0.54382277,-2.5196664,0.21318744,7.032932,6.835827,1,1683969708.3189337
-1.4005086,-1.1451279,1.4316078,-1.14018,-0.54382277,-2.5196664,0.09692725,6.96073,6.9119425,1,1683969708.3291924
-1.4005086,-1.1451279,1.4316078,-1.14018,-0.54382277,-2.5196664,-0.13033561,6.8164964,7.0536866,1,1683969708.3496785
-1.4005086,-1.1451279,1.4316078,0.35155296,-0.9790643,-0.9804387,-0.13033561,6.8164964,7.0536866,1,1683969708.3548093
-1.6505232,-1.258976,1.5689939,0.35155296,-0.9790643,-0.9804387,-0.13033561,6.8164964,7.0536866,1,1683969708.3701994
-1.6505232,-1.258976,1.5689939,1.5108224,-1.2692252,0.33765575,-0.13033561,6.8164964,7.0536866,1,1683969708.3752918
-1.6769271,-1.2079973,1.507161,1.5108224,-1.2692252,0.33765575,-0.13033561,6.8164964,7.0536866,1,1683969708.3958085
-1.6769271,-1.2079973,1.507161,1.5108224,-1.2692252,0.33765575,-0.13894476,6.8365145,7.0341225,1,1683969708.4009337
-1.5374067,-1.071404,1.3241017,1.5108224,-1.2692252,0.33765575,-0.13894476,6.8365145,7.0341225,1,1683969708.4111938
-1.5374067,-1.071404,1.3241017,1.5108224,-1.2692252,0.33765575,-0.02420338,6.9395075,6.933885,1,1683969708.416328
-1.5374067,-1.071404,1.3241017,2.414292,-1.3712398,1.6131424,-0.02420338,6.9395075,6.933885,1,1683969708.4214585
-1.5374067,-1.071404,1.3241017,2.414292,-1.3712398,1.6131424,0.171003,7.0870523,6.780897,1,1683969708.4573226
-1.5374067,-1.071404,1.3241017,2.983924,-1.1840096,3.0795245,0.171003,7.0870523,6.780897,1,1683969708.4727004
-1.1216508,-0.7879728,1.0260355,2.983924,-1.1840096,3.0795245,0.171003,7.0870523,6.780897,1,1683969708.477832
-1.1216508,-0.7879728,1.0260355,2.9927816,-0.7788532,3.9985712,0.171003,7.0870523,6.780897,1,1683969708.4829674
-0.59107107,-0.3969134,0.8082179,2.9927816,-0.7788532,3.9985712,0.171003,7.0870523,6.780897,1,1683969708.4932234
-0.59107107,-0.3969134,0.8082179,2.9927816,-0.7788532,3.9985712,0.42954642,7.2456713,6.599382,1,1683969708.5136945
-0.59107107,-0.3969134,0.8082179,2.9927816,-0.7788532,3.9985712,0.7293259,7.385773,6.4151816,1,1683969708.5290852
-0.16970502,-0.040124293,0.6852839,2.9927816,-0.7788532,3.9985712,0.7293259,7.385773,6.4151816,1,1683969708.5342112
-0.16970502,-0.040124293,0.6852839,2.8241827,-0.41248676,4.447252,0.7293259,7.385773,6.4151816,1,1683969708.5495281
-0.16970502,-0.040124293,0.6852839,2.2299635,0.43600506,4.7326784,0.7293259,7.385773,6.4151816,1,1683969708.5546584
-0.16970502,-0.040124293,0.6852839,2.2299635,0.43600506,4.7326784,1.2168351,7.5389547,6.1578884,1,1683969708.5751522
0.6979676,0.79925394,0.5375314,2.2299635,0.43600506,4.7326784,1.2168351,7.5389547,6.1578884,1,1683969708.5802307
0.6979676,0.79925394,0.5375314,2.2299635,0.43600506,4.7326784,1.3718561,7.573061,6.0829983,1,1683969708.5956225
0.6979676,0.79925394,0.5375314,1.8046486,0.91981035,4.389983,1.3718561,7.573061,6.0829983,1,1683969708.605884
1.2247665,1.4384986,0.42313445,1.8046486,0.91981035,4.389983,1.3718561,7.573061,6.0829983,1,1683969708.6161041
1.2247665,1.4384986,0.42313445,1.8046486,0.91981035,4.389983,1.762207,7.631857,5.9063945,1,1683969708.6417477
1.2247665,1.4384986,0.42313445,1.382999,1.1583532,3.4434474,1.762207,7.631857,5.9063945,1,1683969708.6520002
1.7605907,2.046522,0.23873344,1.382999,1.1583532,3.4434474,1.762207,7.631857,5.9063945,1,1683969708.6571317
1.7605907,2.046522,0.23873344,1.382999,1.1583532,3.4434474,1.9464692,7.6526556,5.821017,1,1683969708.6827464
1.7605907,2.046522,0.23873344,1.079857,1.0398453,2.349235,1.9464692,7.6526556,5.821017,1,1683969708.6878784
2.0148127,2.388432,0.023294043,1.079857,1.0398453,2.349235,1.9464692,7.6526556,5.821017,1,1683969708.69301
2.0398142,2.593993,-0.14220342,1.079857,1.0398453,2.349235,1.9464692,7.6526556,5.821017,1,1683969708.7031844
2.0398142,2.593993,-0.14220342,1.079857,1.0398453,2.349235,2.0618253,7.672611,5.7546515,1,1683969708.7083225
2.0398142,2.593993,-0.14220342,0.7467828,0.74006325,1.1154399,2.0618253,7.672611,5.7546515,1,1683969708.723702
1.826448,2.6067374,-0.19867012,0.7467828,0.74006325,1.1154399,2.0618253,7.672611,5.7546515,1,1683969708.7493434
1.826448,2.6067374,-0.19867012,0.33307427,0.26832256,-0.32788193,2.0618253,7.672611,5.7546515,1,1683969708.7544756
1.826448,2.6067374,-0.19867012,0.33307427,0.26832256,-0.32788193,2.1067286,7.7111535,5.6864696,1,1683969708.7596087
1.5694208,2.400079,-0.14293517,0.33307427,0.26832256,-0.32788193,2.1067286,7.7111535,5.6864696,1,1683969708.790342
1.5694208,2.400079,-0.14293517,0.022143865,0.004276057,-1.2701416,2.1067286,7.7111535,5.6864696,1,1683969708.7954597
1.5694208,2.400079,-0.14293517,0.022143865,0.004276057,-1.2701416,2.0621023,7.741958,5.660912,1,1683969708.8005927
1.5694208,2.400079,-0.14293517,0.022143865,0.004276057,-1.2701416,1.9673479,7.772184,5.653212,1,1683969708.8057215
1.5694208,2.400079,-0.14293517,-0.3791946,-0.17562376,-2.1560488,1.9673479,7.772184,5.653212,1,1683969708.815983
1.3380659,2.1552477,-0.109762505,-0.3791946,-0.17562376,-2.1560488,1.9673479,7.772184,5.653212,1,1683969708.8262432
1.100613,1.7864457,-0.07677277,-0.3791946,-0.17562376,-2.1560488,1.9673479,7.772184,5.653212,1,1683969708.8518496
1.100613,1.7864457,-0.07677277,-0.3791946,-0.17562376,-2.1560488,1.8306428,7.7956805,5.6667647,1,1683969708.8621056
1.100613,1.7864457,-0.07677277,-0.73746705,-0.19043724,-2.7130053,1.8306428,7.7956805,5.6667647,1,1683969708.872327
1.100613,1.7864457,-0.07677277,-1.1647673,-0.088728175,-3.1538973,1.8306428,7.7956805,5.6667647,1,1683969708.8825884
1.100613,1.7864457,-0.07677277,-1.1647673,-0.088728175,-3.1538973,1.655375,7.8056707,5.70678,1,1683969708.8928497
0.9138948,1.4361813,-0.052198168,-1.1647673,-0.088728175,-3.1538973,1.655375,7.8056707,5.70678,1,1683969708.9082477
0.9138948,1.4361813,-0.052198168,-1.1647673,-0.088728175,-3.1538973,1.4446638,7.7941422,5.779309,1,1683969708.9236333
0.72778636,1.0689648,-0.031038398,-1.1647673,-0.088728175,-3.1538973,1.4446638,7.7941422,5.779309,1,1683969708.9338863
0.72778636,1.0689648,-0.031038398,-1.6406313,0.06078109,-3.523318,1.4446638,7.7941422,5.779309,1,1683969708.9441478
