acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,grav_x,grav_y,grav_z,label,timestamp
-0.42801276,0.29532212,0.6190605,0.14034629,-0.57833666,-2.2950208,-3.626317,6.4197006,6.4709654,0,1683969476.5955102
-0.57271636,0.22684251,0.6537577,0.16890424,-0.68539083,-2.1027508,-3.8727422,6.2325187,6.511043,0,1683969476.6306968
-0.63125634,0.22300081,0.70089453,0.21242839,-0.7680103,-1.9752327,-3.9541528,6.161423,6.5297513,0,1683969476.6358817
-0.6513185,0.23336728,0.7607761,0.21242839,-0.7680103,-1.9752327,-3.9541528,6.161423,6.5297513,0,1683969476.6410043
-0.6513185,0.23336728,0.7607761,0.33429602,-0.84864455,-1.817935,-3.9541528,6.161423,6.5297513,0,1683969476.6511877
-0.6513185,0.23336728,0.7607761,0.33429602,-0.84864455,-1.817935,-4.0221214,6.097092,6.548597,0,1683969476.656314
-0.6513185,0.23336728,0.7607761,0.33429602,-0.84864455,-1.817935,-4.078063,6.042591,6.564497,0,1683969476.671702
-0.6513185,0.23336728,0.7607761,0.45112398,-0.8730792,-1.713477,-4.078063,6.042591,6.564497,0,1683969476.6973302
-0.6623557,0.2537953,0.7916316,0.45112398,-0.8730792,-1.713477,-4.078063,6.042591,6.564497,0,1683969476.702457
-0.6623557,0.2537953,0.7916316,0.5129741,-0.84421575,-1.6523905,-4.078063,6.042591,6.564497,0,1683969476.7075796
-0.67613703,0.27123535,0.80559576,0.5129741,-0.84421575,-1.6523905,-4.078063,6.042591,6.564497,0,1683969476.7280984
-0.67613703,0.27123535,0.80559576,0.5129741,-0.84421575,-1.6523905,-4.1260448,5.9980383,6.5753636,0,1683969476.733228
-0.67613703,0.27123535,0.80559576,0.50442195,-0.7115053,-1.5957327,-4.1260448,5.9980383,6.5753636,0,1683969476.743461
-0.71559054,0.28026026,0.78791183,0.50442195,-0.7115053,-1.5957327,-4.1260448,5.9980383,6.5753636,0,1683969476.7485878
-0.71559054,0.28026026,0.78791183,0.50442195,-0.7115053,-1.5957327,-4.172748,5.9594235,6.581001,0,1683969476.7588232
-0.71559054,0.28026026,0.78791183,0.3399465,-0.54305923,-1.5254833,-4.172748,5.9594235,6.581001,0,1683969476.7690847
-0.80010766,0.26239336,0.7390675,0.3399465,-0.54305923,-1.5254833,-4.172748,5.9594235,6.581001,0,1683969476.7844284
-0.80010766,0.26239336,0.7390675,0.3399465,-0.54305923,-1.5254833,-4.252409,5.8985276,6.5848684,0,1683969476.7895246
-0.87810004,0.2365382,0.7308963,0.3399465,-0.54305923,-1.5254833,-4.252409,5.8985276,6.5848684,0,1683969476.8100526
-0.87810004,0.2365382,0.7308963,0.3399465,-0.54305923,-1.5254833,-4.3111696,5.8485174,6.5912647,0,1683969476.8151991
-0.87810004,0.2365382,0.7308963,0.12889257,-0.4251622,-1.408808,-4.3111696,5.8485174,6.5912647,0,1683969476.8203297
-0.87810004,0.2365382,0.7308963,-0.12935072,-0.31474832,-1.2241739,-4.3111696,5.8485174,6.5912647,0,1683969476.8459828
-0.9269444,0.23324533,0.7868142,-0.12935072,-0.31474832,-1.2241739,-4.3111696,5.8485174,6.5912647,0,1683969476.8562489
-0.9269444,0.23324533,0.7868142,-0.12935072,-0.31474832,-1.2241739,-4.3691416,5.7896748,6.6050262,0,1683969476.861381
