acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,grav_x,grav_y,grav_z,label,timestamp
-0.0062808543,0.6494891,0.7977295,1.3639094,-0.33383787,-1.3168727,-3.3583398,5.7874923,7.1737432,0,1683969419.5495453
-0.01103723,0.6015595,0.7934609,1.379181,-0.24953845,-1.4416419,-3.3583398,5.7874923,7.1737432,0,1683969419.5930798
-0.040429186,0.5374704,0.76004434,1.3691018,-0.08307768,-1.5438092,-3.458827,5.87954,7.050081,0,1683969419.5982606
-0.040429186,0.5374704,0.76004434,1.3843733,0.03863723,-1.5344934,-3.6094604,5.9536996,6.91096,0,1683969419.6034632
-0.10701844,0.45374596,0.45533144,1.3843733,0.03863723,-1.5344934,-3.6094604,5.9536996,6.91096,0,1683969419.6034718
-0.10701844,0.45374596,0.45533144,1.449125,-0.205098,-1.5012014,-3.6094604,5.9536996,6.91096,0,1683969419.6085942
-0.10701844,0.45374596,0.45533144,1.449125,-0.205098,-1.5012014,-3.6876748,5.9909167,6.837111,0,1683969419.618842
-0.10701844,0.45374596,0.45533144,1.5522085,-0.63514715,-1.5059355,-3.6876748,5.9909167,6.837111,0,1683969419.6393535
-0.12153149,0.45002624,0.38648596,1.5522085,-0.63514715,-1.5059355,-3.6876748,5.9909167,6.837111,0,1683969419.6444833
-0.12153149,0.45002624,0.38648596,1.5522085,-0.63514715,-1.5059355,-3.7804275,6.05351,6.7304907,0,1683969419.6547396
-0.13293459,0.43923298,0.3515449,1.5522085,-0.63514715,-1.5059355,-3.7804275,6.05351,6.7304907,0,1683969419.6598685
-0.13293459,0.43923298,0.3515449,1.5522085,-0.63514715,-1.5059355,-3.8183706,6.100298,6.6665225,0,1683969419.6650004
-0.13293459,0.43923298,0.3515449,1.6565138,-1.0261009,-1.5460999,-3.8183706,6.100298,6.6665225,0,1683969419.6751828
-0.1510454,0.41380462,0.30550563,1.6565138,-1.0261009,-1.5460999,-3.8183706,6.100298,6.6665225,0,1683969419.6956556
-0.1510454,0.41380462,0.30550563,1.6565138,-1.0261009,-1.5460999,-3.8374178,6.150784,6.6089478,0,1683969419.7059126
-0.1510454,0.41380462,0.30550563,1.7560849,-1.4110987,-1.6194037,-3.8374178,6.150784,6.6089478,0,1683969419.7161653
-0.1510454,0.41380462,0.30550563,1.7560849,-1.4110987,-1.6194037,-3.8403919,6.2032413,6.557995,0,1683969419.7366855
-0.18299848,0.3758756,0.2807481,1.7560849,-1.4110987,-1.6194037,-3.8403919,6.2032413,6.557995,0,1683969419.7418194
-0.18299848,0.3758756,0.2807481,1.8235855,-1.7644843,-1.6928604,-3.8403919,6.2032413,6.557995,0,1683969419.7469459
-0.18299848,0.3758756,0.2807481,1.8235855,-1.7644843,-1.6928604,-3.821331,6.280016,6.495764,0,1683969419.7725604
-0.23019636,0.32440916,0.2719061,1.8235855,-1.7644843,-1.6928604,-3.821331,6.280016,6.495764,0,1683969419.7828157
-0.23019636,0.32440916,0.2719061,1.8396207,-2.1230621,-1.7484491,-3.821331,6.280016,6.495764,0,1683969419.7879567
-0.23019636,0.32440916,0.2719061,1.7806722,-2.3235786,-1.7478381,-3.821331,6.280016,6.495764,0,1683969419.8135178
-0.2570272,0.29148042,0.27568683,1.7806722,-2.3235786,-1.7478381,-3.821331,6.280016,6.495764,0,1683969419.8237734
-0.2570272,0.29148042,0.27568683,1.7806722,-2.3235786,-1.7478381,-3.7957373,6.3268876,6.465214,0,1683969419.8340342
-0.2570272,0.29148042,0.27568683,1.591304,-2.4452937,-1.7214183,-3.7957373,6.3268876,6.465214,0,1683969419.8391652
-0.26019812,0.26208845,0.3081887,1.591304,-2.4452937,-1.7214183,-3.7957373,6.3268876,6.465214,0,1683969419.8494272
-0.26019812,0.26208845,0.3081887,1.591304,-2.4452937,-1.7214183,-3.7617476,6.3674965,6.445181,0,1683969419.8698997
-0.26019812,0.26208845,0.3081887,1.3591752,-2.377182,-1.7096591,-3.7617476,6.3674965,6.445181,0,1683969419.8903656
-0.26019812,0.26208845,0.3081887,1.3591752,-2.377182,-1.7096591,-3.7225456,6.397853,6.437875,0,1683969419.89545
-0.2497097,0.25422215,0.3910594,1.3591752,-2.377182,-1.7096591,-3.7225456,6.397853,6.437875,0,1683969419.9057145
-0.24501431,0.245868,0.47734493,1.3591752,-2.377182,-1.7096591,-3.7225456,6.397853,6.437875,0,1683969419.9211066
-0.24501431,0.245868,0.47734493,1.0919216,-2.1313088,-1.7136297,-3.7225456,6.397853,6.437875,0,1683969419.9262395
-0.24501431,0.245868,0.47734493,1.0919216,-2.1313088,-1.7136297,-3.6865199,6.413745,6.4427905,0,1683969419.9415858
-0.2566613,0.21922012,0.47295445,1.0919216,-2.1313088,-1.7136297,-3.6865199,6.413745,6.4427905,0,1683969419.9518518
-0.2566613,0.21922012,0.47295445,1.0919216,-2.1313088,-1.7136297,-3.662913,6.4066296,6.463303,0,1683969419.9671805
-0.2566613,0.21922012,0.47295445,0.75487673,-1.6858354,-1.7261524,-3.662913,6.4066296,6.463303,0,1683969419.9774337
-0.2566613,0.21922012,0.47295445,0.4700608,-1.3982705,-1.7182112,-3.662913,6.4066296,6.463303,0,1683969420.0030963
-0.2566613,0.21922012,0.47295445,0.4700608,-1.3982705,-1.7182112,-3.6734595,6.3820186,6.48164,0,1683969420.0082483
-0.36526522,0.17696154,0.3901447,0.4700608,-1.3982705,-1.7182112,-3.6734595,6.3820186,6.48164,0,1683969420.0286949
-0.36526522,0.17696154,0.3901447,0.4700608,-1.3982705,-1.7182112,-3.6964731,6.3447948,6.5050583,0,1683969420.0338032
-0.36526522,0.17696154,0.3901447,0.3199407,-1.3709344,-1.6545285,-3.6964731,6.3447948,6.5050583,0,1683969420.03889
-0.36526522,0.17696154,0.3901447,0.3199407,-1.3709344,-1.6545285,-3.7167623,6.300805,6.53618,0,1683969420.0644913
-0.43228132,0.19836523,0.45264837,0.3199407,-1.3709344,-1.6545285,-3.7167623,6.300805,6.53618,0,1683969420.0696216
-0.43228132,0.19836523,0.45264837,0.27305678,-1.5438092,-1.4978416,-3.7167623,6.300805,6.53618,0,1683969420.0798707
-0.43228132,0.19836523,0.45264837,0.35643986,-1.6815593,-1.4051428,-3.7167623,6.300805,6.53618,0,1683969420.0951831
-0.43228132,0.19836523,0.45264837,0.35643986,-1.6815593,-1.4051428,-3.721032,6.2589626,6.5738435,0,1683969420.1002698
-0.4999072,0.25416118,0.53198224,0.35643986,-1.6815593,-1.4051428,-3.721032,6.2589626,6.5738435,0,1683969420.1155126
-0.4999072,0.25416118,0.53198224,0.35643986,-1.6815593,-1.4051428,-3.69874,6.2128053,6.6299686,0,1683969420.1205926
-0.4999072,0.25416118,0.53198224,0.50976706,-1.8382462,-1.3096951,-3.69874,6.2128053,6.6299686,0,1683969420.1256719
-0.48661375,0.26910108,0.5107005,0.50976706,-1.8382462,-1.3096951,-3.69874,6.2128053,6.6299686,0,1683969420.1461391
-0.4548436,0.27885774,0.50942,0.50976706,-1.8382462,-1.3096951,-3.69874,6.2128053,6.6299686,0,1683969420.1665826
-0.46856394,0.29721245,0.5073467,0.50976706,-1.8382462,-1.3096951,-3.69874,6.2128053,6.6299686,0,1683969420.181944
-0.46856394,0.29721245,0.5073467,0.5729916,-2.0352502,-1.2449434,-3.69874,6.2128053,6.6299686,0,1683969420.187079
-0.46856394,0.29721245,0.5073467,0.5729916,-2.0352502,-1.2449434,-3.6177654,6.1886163,6.6969333,0,1683969420.1922145
-0.46856394,0.29721245,0.5073467,0.5729916,-2.0352502,-1.2449434,-3.5516288,6.1660867,6.752883,0,1683969420.2281299
-0.51411533,0.31044495,0.46832004,0.5729916,-2.0352502,-1.2449434,-3.5516288,6.1660867,6.752883,0,1683969420.233265
-0.51411533,0.31044495,0.46832004,0.26053402,-1.8901697,-1.1972959,-3.5516288,6.1660867,6.752883,0,1683969420.2384038
-0.5519834,0.3240433,0.4966753,0.26053402,-1.8901697,-1.1972959,-3.5516288,6.1660867,6.752883,0,1683969420.253761
