acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,grav_x,grav_y,grav_z,label,timestamp
-2.259578,-0.3759973,-1.0568053,1.4731979,0.33592224,0.07556915,-8.2965355,4.8448286,-1.9660943,0,1683807221.7963963
-2.259578,-0.3759973,-1.0568053,0.01909256,1.037941,1.2153816,-8.002747,5.1900873,-2.2780323,0,1683807221.8432715
-2.2151585,-0.23077284,-0.9337982,-0.5902672,1.2754631,1.844902,-8.13383,5.0096087,-2.2169852,0,1683807221.8588982
-2.0377376,-0.13924928,-0.9311139,-1.0036278,1.1104393,2.4968529,-8.13383,5.0096087,-2.2169852,0,1683807221.8745213
-1.7119229,-0.13632235,-0.79956865,-1.2368774,0.7482147,2.976303,-8.13383,5.0096087,-2.2169852,0,1683807221.890146
-1.7119229,-0.13632235,-0.79956865,-1.2368774,0.7482147,2.976303,-7.844705,5.4196577,-2.2931008,0,1683807221.9057715
-1.5288758,-0.014058384,-0.74391145,-1.7651939,0.73753357,3.577118,-7.565526,5.814462,-2.2638981,0,1683807221.9213965
-1.5288758,-0.014058384,-0.74391145,-1.7651939,0.73753357,3.577118,-7.4581733,5.9586935,-2.2449958,0,1683807221.9370213
-1.5288758,-0.014058384,-0.74391145,-2.0272827,0.7674408,3.7986183,-7.2260685,6.2568154,-2.192388,0,1683807221.9526474
-1.3978158,0.026706379,-0.7297621,-2.3554611,0.14953613,4.3408203,-6.6937976,6.8861794,-1.9859468,0,1683807221.968274
-1.3978158,0.026706379,-0.7297621,-2.3554611,0.14953613,4.3408203,-6.3879905,7.215383,-1.8171982,0,1683807221.9838967
-1.3307086,-0.016257375,-0.59967273,-2.3554611,0.14953613,4.3408203,-6.3879905,7.215383,-1.8171982,0,1683807221.9838967
-1.3307086,-0.016257375,-0.59967273,-2.5322342,-0.10721207,4.7009087,-6.3879905,7.215383,-1.8171982,0,1683807221.9995213
-1.0754132,0.03939987,-0.48082098,-2.716484,-0.18598557,5.078087,-6.037439,7.556662,-1.6175866,0,1683807222.0151463
0.27959046,0.18533711,0.40340132,-5.0356293,1.9583893,5.569153,-0.40225318,9.520501,2.3170335,0,1683807222.030773
0.27959046,0.18533711,0.40340132,-5.1708794,2.1148682,5.4859734,-0.40225318,9.520501,2.3170335,0,1683807222.0463982
0.3235248,0.16386282,0.41852126,-5.1708794,2.1148682,5.4859734,-0.40225318,9.520501,2.3170335,0,1683807222.0620208
0.858987,0.11236091,1.1145856,-4.8758125,1.8283463,4.437752,1.887366,8.047685,5.2766466,0,1683807222.0776472
1.3671057,0.2007149,1.6807882,-3.4792519,0.056877136,3.3586884,2.1590838,7.6942773,5.6839113,0,1683807222.1088965
1.3671057,0.2007149,1.6807882,-0.114154816,-0.42791367,-0.39426804,3.2692873,6.4470434,6.627049,0,1683807222.155771
1.6299536,0.4206141,1.717155,-0.114154816,-0.42791367,-0.39426804,3.2692873,6.4470434,6.627049,0,1683807222.155771
1.3453889,0.28491354,1.6744491,-0.114154816,-0.42791367,-0.39426804,3.2692873,6.4470434,6.627049,0,1683807222.1713972
0.8184648,0.28955418,1.5565679,1.2143135,0.39880753,-1.445694,3.0551143,6.6496058,6.5283537,0,1683807222.1870217
0.8599576,0.46453327,1.0008447,2.456398,-0.04966736,-2.0315552,2.6718044,7.1140676,6.1985393,0,1683807222.2182722
0.98881847,0.5570426,0.92225724,2.7386475,-0.46730042,-2.7590752,2.3169217,7.627033,5.7123218,0,1683807222.233897
0.8697241,0.5092107,0.91835976,2.7993965,-0.34793854,-3.1852531,2.1167216,7.841463,5.495575,0,1683807222.2495215
0.7899083,0.4735719,0.9110348,2.8441238,-0.25634766,-3.3481407,1.9992365,7.9480286,5.385377,0,1683807222.2651463
0.7899083,0.4735719,0.9110348,3.7496185,-0.40548325,-4.1609764,0.63905853,8.870594,4.1321354,0,1683807222.2963977
0.4509147,0.507497,0.6005978,3.7496185,-0.40548325,-4.1609764,0.63905853,8.870594,4.1321354,0,1683807222.2963977
0.41870326,0.5101813,0.5434847,4.0213203,-0.8869362,-4.789562,-0.30957934,9.251619,3.2376068,0,1683807222.3276465
0.092403166,0.38717425,0.29942688,4.0234566,-0.9605026,-5.116539,-1.657132,9.423288,2.1507998,0,1683807222.3745363
-0.035487182,0.32200825,0.25355136,4.0575027,-0.8390045,-5.5213547,-0.95529276,9.381554,2.691519,0,1683807222.390161
0.24249575,0.4713729,0.31773162,4.0575027,-0.8390045,-5.5213547,-0.95529276,9.381554,2.691519,0,1683807222.405786
-0.17045979,0.2514737,0.15885822,4.0575027,-0.8390045,-5.5213547,-2.6547315,9.330536,1.4366261,0,1683807222.4214113
-0.17045979,0.2514737,0.15885822,4.0735245,-0.6739807,-5.635376,-3.423999,9.144424,0.90891457,0,1683807222.437036
-0.37058324,0.16850345,0.03829279,4.0532303,-0.60468674,-5.6544685,-4.189371,8.857849,0.3975802,0,1683807222.452661
-0.56216854,0.1157883,-0.05421653,3.9147758,-0.5439377,-5.557537,-4.9278154,8.478239,-0.08048585,0,1683807222.468286
-0.56216854,0.1157883,-0.05421653,3.9147758,-0.5439377,-5.557537,-7.0665536,6.6181583,-1.5601878,0,1683807222.4839113
-1.0932328,-0.03309104,-0.23652056,2.9538727,0.8483505,-4.419861,-7.0665536,6.6181583,-1.5601878,0,1683807222.4839113
-1.49031,-0.117289685,-0.94429266,2.1581268,0.35194397,-2.9636192,-7.7324324,5.5837026,-2.2808197,0,1683807222.5307858
-2.0204036,-0.3349899,-0.90231466,0.33325195,-0.01455307,-1.0663795,-8.463081,4.0002246,-2.9231553,0,1683807222.5620222
-2.0204036,-0.3349899,-0.90231466,0.079841614,-0.04219055,-0.546608,-8.501449,3.9107645,-2.9328597,0,1683807222.5776484
-2.0755603,-0.35963377,-0.8366634,0.079841614,-0.04219055,-0.546608,-8.501449,3.9107645,-2.9328597,0,1683807222.5776484
-1.9208272,-0.27836207,-0.8552108,-0.2909279,-0.22964478,0.52511215,-8.513293,3.9135818,-2.8944964,0,1683807222.608895
-1.8102709,-0.24566533,-0.8691175,-0.6638336,-0.6036186,1.330471,-8.479431,4.0470066,-2.8091571,0,1683807222.6245198
-1.51277,-0.13755074,-0.6758185,-1.3327408,-0.7719803,2.2742844,-8.317946,4.5492644,-2.507258,0,1683807222.6401465
-1.1271578,-0.04602718,-0.40540314,-2.0049858,-1.1053658,3.968048,-7.193523,6.5384316,-1.2932634,0,1683807222.718272
-1.0207418,-0.022111244,-0.3544017,-2.1573257,-1.1766624,4.4974327,-6.9039364,6.8830843,-1.062641,0,1683807222.7338972
-0.6075588,0.038414117,-0.048847955,-2.2712135,-0.98386765,5.817356,-5.3462915,8.220849,-0.07215188,0,1683807222.765146
-0.4962746,0.08674645,-0.03492606,-2.2446442,-0.9722519,6.011219,-4.8560696,8.518337,0.16399172,0,1683807222.7807713
-0.20120019,0.085032746,0.09563341,-2.2414398,-0.7304573,6.357422,-3.4892828,9.133868,0.7534983,0,1683807222.8120213
0.01771326,0.11528785,0.14273733,-2.2414398,-0.7304573,6.357422,-3.4892828,9.133868,0.7534983,0,1683807222.8432739
0.01771326,0.11528785,0.14273733,-2.3373032,-0.37771225,6.6098976,-3.4892828,9.133868,0.7534983,0,1683807222.8745213
0.17904346,0.15141198,0.20083623,-2.3373032,-0.37771225,6.6098976,-3.4892828,9.133868,0.7534983,0,1683807222.8901477
0.239311,0.15629525,0.24305686,-2.539711,0.1399231,6.8219185,-1.6075038,9.5632305,1.4597812,0,1683807222.921396
